code,name,zone,state,address,latitude,longitude
SONR,Saoner Junction,SECR,Maharashtra,"Saoner, Maharashtra",78.925046,21.387489000000002
SOJ,SAROJINI NAGAR,NR,Delhi NCT,"Sarojini Nagar, Delhi NCT",77.196287,28.581210000000002
SPD,SUPEDI,WR,Gujarat,"Supedi, Gujarat",70.3763963708,21.758513999399998
SNX,SANEH ROAD,NR,Uttar Pradesh,"Saneh Road, Uttar Pradesh",78.4494025903,29.689652272500002
SRA,SEMRA,ECR,Bihar,"National Highway 28A, Bihar",84.8136981409,26.711946963
SRSI,Sarsi,ECR,Bihar,"State Highway 77, Bihar",87.28521798737347,25.86331602863504
SNPR,SINGARPUR,NCR,Rajasthan,"Rupbas, Rajasthan",77.72370699999999,27.116202
SNYN,SONIYANA,NWR,Rajasthan,"National Highway 79, Rajasthan",74.62566,25.123246
SRJ,SHANKARGARH,NCR,Madhya Pradesh,"Shankargarh, Madhya Pradesh",81.6190324237,25.1813005966
STF,Sikta,ECR,Bihar,"Sikta, Bihar",84.680541,27.024365
SRGH,Surajgarh,NWR,Rajasthan,"Surajgarh, Rajasthan",75.73429978452623,28.30168415387253
SQE,SAMRLA,SCR,Maharashtra,"Dharmabad, Maharashtra",77.793105,18.921849
SRK,SAMRAU,NWR,Rajasthan,"State Highway 61, Rajasthan",72.721146,26.8662
SOHL,Sohal,NR,Punjab,"National Highway 15, Punjab",75.348341,31.974211
SRNK,Soron,NER,Uttar Pradesh,"Soron, Uttar Pradesh",78.748458,27.883353999999997
SNSN,SONASAN,WR,Gujarat,"Salal, Gujarat",72.895784,23.491604000000002
SRID,SHRIDHAM,WCR,Madhya Pradesh,"Shridham, Madhya Pradesh",79.484397,23.033843
SQL,SONTALAI,WCR,Madhya Pradesh,"Itarsi, Madhya Pradesh",77.94977499999999,22.613017999999997
SPZ,SAMPLA,NR,Haryana,"Sampla, Haryana",76.773299,28.781933000000002
SNHR,SANKHAI,WR,Gujarat,"Patan, Gujarat",72.177296,23.796393
SPK,SAPEKHATI,NFR,Assam,"Moran to Naharkatiya Rd, Assam",95.160918,27.110416
SPRA,Sillipur,NCR,Rajasthan,"State Highway 2, Rajasthan",77.031581,26.081657
STC,SANTA CRUZ,WR,Maharashtra,"Mumbai, Maharashtra",72.84133899999999,19.082018
SSV,SASVAD ROAD,CR,Maharashtra,"Sasvad, Maharashtra",73.9546461121,18.4732023111
SOU,Supaul,ECR,Bihar,"Supaul, Bihar",86.603023,26.117556999999998
SOJN,SIHOR GUJARAT,WR,Gujarat,"Shihor, Gujarat",71.957197,21.724798000000003
KRNG,Kargaon Halt,,,,79.41302,20.800933
SNDY,SANDAI,NER,Uttar Pradesh,"Sandai, Uttar Pradesh",79.990982,28.572634
SNDD,SINDHUDURG,KR,Maharashtra,"Oros, Maharashtra",73.67934,16.111322
SPGL,Sarai Gopal,NR,Uttar Pradesh,"Allahabad Bypass, Uttar Pradesh",81.822277,25.548656
STH,Sethal,NER,Uttar Pradesh,"Bareilly, Uttar Pradesh",79.56736599999999,28.543189
SRMN,Semraon,ECR,Bihar,"State Highway 12, Bihar",84.52704197999999,25.395161271299997
STPM,S NARAYANAPURAM,SCR,Andhra Pradesh,"Vijayawada, Andhra Pradesh",80.647908,16.525488
SSP,Santoshpur,ER,West Bengal,"Kolkata, West Bengal",88.272502,22.524414
SNDT,Sindri Town,?,Jharkhand,"Sindri, Jharkhand",86.47988299999999,23.660992
SRN,Soron,NER,Uttar Pradesh,"Soron, Uttar Pradesh",78.748798,27.883694
SNA,Sadanapura,WR,Gujarat,"Sadanapura, Gujarat",73.01247500000001,22.602487999999997
WW,Wanabar,?,,,84.97751000000001,25.006278000000002
SSRD,Shasan Road,ER,West Bengal,"Baruipur, West Bengal",88.434523,22.346539999999997
SMTG,Saheed Matangini,SER,West Bengal,"Medinipur, West Bengal",87.90811500000001,22.301973999999998
SOE,Sheopur Kalan,NCR,Madhya Pradesh,"Sheopur, Madhya Pradesh",76.70038600000001,25.675538
SMNN,Shri Makri Nath Nagar,NWR,Rajasthan,"Churu, Rajasthan",74.824623,28.179883999999998
AKU,ANGALAKUDURU,SCR,Andhra Pradesh,"Coastal Andhra Region, Andhra Pradesh",80.609091,16.245325
GTI,GHUTAI,NCR,Uttar Pradesh,"National Highway 76, Uttar Pradesh",79.4413220264,25.289429766
SWAR,SEWAR,WCR,Rajasthan,"Bharatpur, Rajasthan",77.425499,27.177901
STSN,SHAITAN SINGH NAGAR,NWR,Rajasthan,"State Highway 61, Rajasthan",72.468139,27.052218
MHTR,MALIHATI TALIBPUR ROAD,ER,West Bengal,"Rd, West Bengal",88.126194,23.79372
SRRG,SURERGOTH,NWR,Rajasthan,"State Highway 25, Rajasthan",76.605353,27.18282
SVKD,SAVAR KUNDLA,WR,Gujarat,"Savar Kundla, Gujarat",71.31266699999999,21.335082
SSKA,SISARKA,NR,Uttar Pradesh,"State Highway 43, Uttar Pradesh",78.846279,28.431279
SSR,SARERI,NWR,Rajasthan,"National Highway 79, Rajasthan",74.624105,25.697556000000002
SRNT,SARNATH,NER,Uttar Pradesh,"Varanasi, Uttar Pradesh",83.032634,25.375998
SVW,SHIVNI SHIVAPUR,SCR,Maharashtra,"Akola, Maharashtra",77.048971,20.674328
SRVX,SURAVALI,KR,Goa,"Margao, Goa",73.939328,15.291947
SXS,SHOBHASAN,WR,Gujarat,"State Highway 41, Gujarat",72.394212,23.542306999999997
STBJ,Sitabanji,ECoR,Orissa,"National Highway 215, Orissa",85.79053,21.500203
SVM,SANVERDAM CHUCH,SWR,Goa,"Curchorem, Goa",74.10866,15.264064
SUL,SULADHAL,SWR,Karnataka,"Belagavi, Karnataka",74.67814298520001,16.001728105999998
SVQ,SIVOK,NFR,West Bengal,"Sevoke, West Bengal",88.468742,26.880144
VMLD,VEMULURIPADU,,,,80.294121,16.309801
SWG,Sidhwan,NR,Punjab,"Sidhwan, Punjab",75.54695000000001,31.095558
